id,default,seniority,home,age,marital,job,expenses,income,assets,debt,amount,savings
261,0,12,owner,64,single,freelance,60,341,4500,0,900,11.24
262,0,25,owner,49,married,freelance,105,240,12000,4200,1660,2.68916
263,0,8,owner,49,married,freelance,60,142,6000,0,200,4.92
264,0,20,owner,45,married,freelance,75,333,5000,0,1000,9.288
265,0,3,parents,27,single,fixed,35,125,5000,0,770,7.01299
266,0,2,parents,30,married,fixed,45,170,0,0,700,6.42857
267,1,2,owner,33,married,freelance,75,220,16000,500,3000,1.68
268,0,15,owner,40,married,fixed,60,230,8500,480,700,8.496
269,0,3,owner,30,separated,fixed,60,157,15000,0,1000,5.82
270,0,4,parents,30,married,fixed,60,340,16000,0,1900,1.76842
271,0,3,owner,25,married,partime,60,120,3500,200,1000,3.48
272,0,9,rent,40,single,fixed,44,91,0,0,1000,2.82
273,1,4,priv,50,married,freelance,60,150,7000,0,900,4.2
274,0,2,owner,23,single,fixed,35,88,5500,0,750,2.544
275,0,1,other,28,single,partime,35,120,0,0,900,4.53333
276,1,2,rent,35,married,freelance,75,70,0,0,1000,-0.3
277,0,2,rent,27,married,fixed,56,106,0,0,650,4.61538
278,0,2,parents,19,married,fixed,35,162,4000,100,400,11.34
279,0,3,parents,39,married,fixed,45,77,0,0,1000,1.92
280,0,8,priv,39,married,fixed,75,128,2500,0,550,3.46909
281,0,10,owner,55,widow,fixed,35,189,9000,0,1200,6.16
282,0,10,owner,32,married,freelance,60,300,40000,3000,2000,3.78
283,0,5,owner,54,married,freelance,60,92,6000,1700,1700,0.529412
284,0,20,owner,58,married,freelance,60,380,35000,0,1100,13.9636
285,0,5,owner,37,married,freelance,75,500,14000,0,1500,6.8
286,0,20,parents,36,married,freelance,60,130,0,0,1200,3.5
287,0,12,owner,28,married,fixed,45,141,6000,400,1100,5.01818
288,0,13,owner,38,married,fixed,75,220,6500,3600,1000,6.54
289,0,11,owner,26,married,fixed,60,146,5000,1300,400,6.57
290,0,17,owner,41,married,freelance,75,250,13500,3700,1400,5.91429
291,0,6,owner,42,married,fixed,60,132,6000,0,1200,2.16
292,0,22,owner,46,married,freelance,90,150,75000,0,3000,0.12
293,0,25,rent,52,married,fixed,73,127,0,0,1030,3.14563
294,1,8,owner,30,married,partime,60,90,3000,500,1000,1.5
295,1,19,owner,47,married,freelance,90,166,12500,1000,875,4.52571
296,0,3,owner,66,married,others,45,69,12000,0,500,0.864
297,0,35,owner,54,married,fixed,45,182,4000,0,1000,8.22
298,0,0,owner,65,married,others,45,77,4000,2000,750,0.672
299,1,7,other,25,married,fixed,45,50,0,0,950,0.315789
300,0,3,owner,31,single,fixed,35,131,4000,0,1050,5.48571
301,0,1,parents,23,single,fixed,35,62,0,0,350,1.85143
302,1,5,owner,35,married,fixed,75,60,3000,400,1150,-0.991304
303,0,2,owner,47,married,fixed,90,86,4500,0,1200,-0.2
304,1,13,rent,28,married,fixed,59,143,0,0,1400,2.16
305,1,27,rent,50,married,fixed,87,120,0,0,1300,1.52308
306,1,3,other,25,single,fixed,35,283,0,0,2000,7.44
307,0,0,owner,39,married,fixed,60,138,3000,0,1400,2.00571
308,0,1,priv,46,married,others,90,90,2000,600,500,-0.144
309,1,1,rent,36,married,fixed,85,99,0,0,1200,0.7
310,1,10,owner,39,married,freelance,75,160,15000,0,3250,0.941538
311,0,1,owner,25,married,partime,60,330,9000,3500,1300,10.8462
312,0,6,owner,49,married,freelance,60,100,22000,0,1000,1.44
313,1,3,rent,52,married,fixed,96,210,0,0,1400,3.90857
314,0,10,rent,34,separated,fixed,45,100,0,0,700,2.35714
315,0,0,owner,24,single,partime,45,97,8000,0,600,3.12
316,1,1,rent,38,married,freelance,45,65,0,0,1500,0.8
317,0,6,owner,24,married,fixed,45,227,3000,0,600,14.56
318,0,5,owner,33,married,fixed,45,140,22000,2500,1200,2.45
319,1,1,rent,31,married,fixed,87,115,0,0,1100,1.22182
320,0,37,owner,63,married,fixed,60,150,3500,0,700,6.17143
321,1,1,parents,23,single,fixed,35,90,0,0,1100,3
322,0,40,owner,61,married,fixed,90,275,12000,0,1000,7.77
323,0,5,parents,28,single,fixed,35,176,0,0,1190,7.10924
324,0,11,rent,58,married,fixed,71,110,3000,0,1150,2.03478
325,0,23,owner,41,married,fixed,75,140,3000,0,1450,2.68966
326,0,23,owner,38,married,fixed,45,500,3500,0,1900,14.3684
327,1,5,owner,27,married,fixed,75,66,3000,0,600,-0.9
328,0,10,owner,55,married,freelance,60,273,10000,0,1000,12.78
329,0,5,owner,40,married,freelance,75,145,6000,0,825,4.07273
330,0,31,owner,59,married,fixed,60,67,6500,0,1080,0.388889
331,1,4,owner,47,married,freelance,75,232,13500,0,1900,4.95789
332,1,10,owner,38,married,fixed,90,80,3000,1749,1030,-1.60136
333,0,0,parents,25,single,freelance,35,130,0,0,800,7.125
334,0,8,other,28,married,fixed,45,200,0,0,700,13.2857
335,0,2,owner,49,married,freelance,75,154,14000,0,850,3.34588
336,0,3,priv,38,married,freelance,90,187,2500,750,1550,2.77161
337,1,35,owner,52,married,fixed,60,135,5000,0,1200,3
338,0,3,owner,37,widow,fixed,45,160,6000,3000,1000,4.08
339,0,25,owner,42,married,fixed,60,133,9500,0,1500,2.92
340,0,8,rent,54,married,freelance,173,230,5000,0,1100,3.10909
341,0,2,owner,30,married,fixed,60,154,3000,0,1000,5.64
342,0,2,owner,26,married,fixed,60,50,3500,250,600,-0.625
343,0,17,owner,49,married,freelance,60,189,7000,0,1100,5.62909
344,0,3,owner,36,married,fixed,60,202,4600,1260,1400,5.54571
345,1,4,parents,40,married,freelance,90,20,0,0,1850,-1.81622
346,1,0,owner,61,married,others,60,40,4000,0,170,-1.41176
347,1,2,rent,59,married,fixed,110,50,0,0,200,-7.2
348,0,2,owner,49,married,fixed,45,125,4000,0,500,7.68
349,0,30,rent,52,married,freelance,70,100,14500,0,1250,1.44
350,0,11,owner,35,married,fixed,60,115,4000,75,1250,2.604
351,1,5,ignore,25,married,fixed,75,160,1000,0,890,5.73034
352,0,14,owner,30,married,fixed,60,70,4000,2800,600,-1.8
353,0,8,owner,28,married,fixed,35,220,4000,0,1000,8.88
354,1,1,other,42,married,freelance,45,99,0,0,1600,2.025
355,0,1,owner,29,single,freelance,35,107,2000,0,300,1.44
356,1,6,owner,32,married,fixed,75,160,2200,600,1550,3.05806
357,0,9,owner,45,married,fixed,75,150,3000,0,1100,4.09091
358,0,0,owner,52,married,partime,45,232,10000,0,750,14.96
359,1,3,owner,26,married,partime,45,120,6100,1500,1000,3.6
360,0,3,owner,33,married,freelance,75,225,2000,0,1400,6.42857
361,0,1,parents,21,single,freelance,35,100,0,0,900,4.33333
362,1,0,owner,34,married,partime,75,80,4500,300,600,0.12
363,0,6,owner,27,single,fixed,35,208,6000,3300,1500,5.6
364,1,21,owner,44,married,fixed,90,105,1150,720,200,2.34
365,0,17,owner,51,married,fixed,60,98,4000,0,860,2.65116
366,0,7,rent,33,married,fixed,113,532,0,0,1000,7.542
367,0,10,owner,35,married,fixed,60,140,4000,0,1000,4.8
368,0,2,owner,38,married,fixed,75,90,7000,2000,500,-0.48
369,0,0,rent,28,married,fixed,76,155,0,0,800,5.925
370,0,2,owner,26,married,fixed,45,120,3500,0,300,15
371,0,10,owner,34,married,fixed,90,159,3000,250,300,7.98
372,0,6,owner,27,married,fixed,45,122,2000,1000,1300,3.09231
373,1,7,owner,32,married,partime,75,156,3500,0,1300,3.73846
374,0,18,owner,43,single,fixed,35,90,2500,0,1000,2.64
375,0,3,owner,30,single,partime,35,130,5000,0,1100,1.55455
376,0,6,owner,42,married,freelance,90,45,4000,34,200,-4.0806
377,0,0,rent,26,married,partime,72,118,1000,0,600,2.76
378,1,0,owner,20,single,others,60,152,2000,0,400,5.52
379,0,8,rent,24,single,fixed,49,135,0,0,1000,4.128
380,0,4,rent,27,married,fixed,58,125,0,0,1200,2.68
381,0,1,rent,35,married,freelance,66,208,4000,0,1000,5.112
382,1,1,parents,18,single,partime,35,81,0,0,1150,1.92
383,0,3,owner,35,married,fixed,75,160,1800,0,200,10.2
384,0,10,rent,33,married,freelance,75,300,2700,0,1000,13.5
385,0,8,priv,39,married,fixed,60,135,4000,1500,1300,1.66154
386,0,20,parents,36,married,fixed,60,121,0,0,850,4.30588
387,0,3,parents,29,single,fixed,35,145,0,0,1000,5.28
388,1,1,parents,23,single,fixed,35,165,0,0,1300,4.8
389,0,19,owner,34,married,freelance,75,428,32000,0,500,8.472
390,0,2,rent,57,married,others,68,233,0,0,1200,6.6
391,1,11,owner,38,married,fixed,90,245,4000,0,1700,5.47059
392,1,1,owner,52,married,freelance,60,232,100000,20000,1500,-0.672
393,1,1,owner,42,married,freelance,75,200,9000,4500,1400,2.74286
394,0,15,owner,44,married,freelance,60,42,10000,0,910,-1.18681
395,0,10,owner,37,divorced,fixed,35,87,3500,450,500,4.56
396,1,1,priv,34,married,freelance,45,200,3000,1500,1000,6.72
397,0,25,owner,43,married,freelance,75,250,100000,0,600,3.5
398,1,4,rent,42,divorced,fixed,70,350,0,0,2200,7.63636
399,1,0,other,24,married,fixed,60,105,0,0,1200,1.8
400,0,1,owner,36,single,freelance,60,100,4500,1500,400,3.75
401,1,2,parents,52,married,freelance,75,160,5000,0,1350,3.77778
402,0,16,parents,34,single,freelance,35,132,12000,0,1200,4.85
403,1,0,rent,34,separated,fixed,49,140,0,0,1150,2.8487
404,0,16,parents,31,married,fixed,45,160,0,0,1400,4.92857
405,0,8,owner,36,married,freelance,75,148,2600,0,1400,3.12857
406,0,20,parents,50,married,freelance,45,113,20000,0,700,3.49714
407,0,5,parents,33,married,fixed,45,97,0,0,1500,2.08
408,0,20,owner,54,married,fixed,60,107,1500,0,1250,2.256
409,1,5,rent,40,married,fixed,66,206,0,0,1900,4.42105
410,0,1,owner,29,married,fixed,45,275,6000,1810,1600,7.94625
411,0,3,owner,31,married,fixed,45,176,4500,2500,1400,4.54286
412,0,2,rent,32,married,fixed,63,175,0,0,1000,4.032
413,0,3,owner,51,married,fixed,45,223,20000,0,1400,3.05143
414,0,7,rent,31,married,fixed,67,70,0,0,790,0.227848
415,1,9,rent,46,married,fixed,84,87,0,0,1200,0.09
416,1,1,owner,35,married,freelance,90,42,5000,100,500,-5.88
417,0,14,parents,33,single,fixed,35,60,0,0,1150,1.30435
418,0,6,other,25,single,fixed,35,300,0,0,2400,5.3
419,0,0,other,31,married,fixed,75,144,0,0,450,5.52
420,1,15,rent,43,married,freelance,75,217,15000,2000,1100,3.99273
421,0,2,parents,30,married,fixed,60,180,0,0,1350,4.26667
422,1,1,rent,40,married,others,82,69,0,0,1100,-0.567273
423,0,12,rent,37,married,fixed,86,110,0,0,700,2.05714
424,1,1,parents,22,single,partime,35,50,0,0,425,1.27059
425,1,0,parents,24,single,partime,35,86,0,0,1400,2.18571
426,0,11,owner,27,married,fixed,60,172,7000,0,900,4.48
